Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
9571,124,2.0,49.97217545959135,29.37315855026452,5.0,8,14.0,1976,0.16909109,B,B,19,3856,10,,2,5,B
12876,27,2.0,54.49107181674717,33.587619525656585,9.0,5,17.0,2012,0.011654127,B,B,4,915,0,,0,0,B
5905,62,1.0,49.83759525972453,,1.0,6,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
5221,120,2.0,33.882914341517825,21.623372787797575,6.0,8,9.0,1966,0.341071945,B,B,27,5664,48,2300.0,3,11,B
12569,75,2.0,59.110119894801,35.80797071261016,10.0,6,17.0,1999,0.122090347,B,B,29,6566,7,1894.0,4,0,B
13451,12,1.0,42.83419361349053,21.95000227935471,8.0,4,12.0,1995,0.090799103,B,B,74,19083,2,,5,15,B
9844,58,2.0,62.62665480931243,62.51783476469416,0.0,11,17.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
4884,29,1.0,39.68887710532403,18.944480450824138,8.0,2,14.0,1977,0.069660344,B,B,31,6119,4,,1,2,B
11870,185,3.0,76.54322466475195,47.531757781573006,10.0,5,17.0,1991,0.025609157,B,B,33,5261,0,240.0,3,1,B
1131,47,2.0,55.860983176004495,31.909536799037472,8.0,5,12.0,1984,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
13210,93,2.0,65.97604034541183,38.47489822026113,10.0,7,24.0,2013,0.050900058,B,B,43,10621,1,30.0,2,3,B
7110,6,1.0,48.48100349126128,3.85239974978188,1.0,12,25.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B
12858,55,3.0,73.52132118137585,47.01892935839261,10.0,6,14.0,1996,0.041365446,B,B,31,5569,0,,1,4,B
13540,29,1.0,35.81374528416286,22.772966577624917,5.0,3,5.0,1963,0.086885265,B,B,10,2277,2,1547.0,0,0,B
16055,62,3.0,108.21890113362416,108.2722770533105,10.0,4,17.0,2017,0.072157581,B,B,2,629,1,,0,0,A
